"NewComponent","VOLATILITY"
"NG_2018-01-01_rtc",0.40576
"NG_2018-02-01_rtc",0.42067
"NG_2018-03-01_rtc",0.42853
"NG_2018-04-01_rtc",0.29654
"NG_2018-05-01_rtc",0.27094
"NG_2018-06-01_rtc",0.25954
"NG_2018-07-01_rtc",0.25844
"NG_2018-08-01_rtc",0.25477
"NG_2018-09-01_rtc",0.25396
"NG_2018-10-01_rtc",0.25278
"NG_2018-11-01_rtc",0.25376
"NG_2018-12-01_rtc",0.25445
"ZONE N_2018-01-01_op",0.283424609301876
"ZONE N_2018-01-01_pk",0.354280761627345
"ZONE N_2018-02-01_op",0.31887119586703
"ZONE N_2018-02-01_pk",0.398588994833787
"ZONE N_2018-03-01_op",0.29522048499791
"ZONE N_2018-03-01_pk",0.369025606247387
"ZONE N_2018-04-01_op",0.26390519839271
"ZONE N_2018-04-01_pk",0.329881497990887
"ZONE N_2018-05-01_op",0.245885829048701
"ZONE N_2018-05-01_pk",0.307357286310876
"ZONE N_2018-06-01_op",0.252852548592558
"ZONE N_2018-06-01_pk",0.316065685740698
"ZONE N_2018-07-01_op",0.350559272011499
"ZONE N_2018-07-01_pk",0.438199090014374
"ZONE N_2018-08-01_op",0.371628242742695
"ZONE N_2018-08-01_pk",0.464535303428369
"ZONE N_2018-09-01_op",0.259268
"ZONE N_2018-09-01_pk",0.324085
"ZONE N_2018-10-01_op",0.2362096
"ZONE N_2018-10-01_pk",0.295262
"ZONE N_2018-11-01_op",0.225372229781983
"ZONE N_2018-11-01_pk",0.281715287227479
"ZONE N_2018-12-01_op",0.2152952
"ZONE N_2018-12-01_pk",0.269119
